LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,UNEMP,MEN,PC_LF,A,1979,5.162579,
AUS,UNEMP,MEN,PC_LF,A,1980,5.068766,
AUS,UNEMP,MEN,PC_LF,A,1981,4.808415,
AUS,UNEMP,MEN,PC_LF,A,1982,6.345981,
AUS,UNEMP,MEN,PC_LF,A,1983,9.716337,
AUS,UNEMP,MEN,PC_LF,A,1984,8.686903,
AUS,UNEMP,MEN,PC_LF,A,1985,7.943595,
AUS,UNEMP,MEN,PC_LF,A,1986,7.669734,
AUS,UNEMP,MEN,PC_LF,A,1987,7.76106,
AUS,UNEMP,MEN,PC_LF,A,1988,6.768215,
AUS,UNEMP,MEN,PC_LF,A,1989,5.711262,
AUS,UNEMP,MEN,PC_LF,A,1990,6.732783,
AUS,UNEMP,MEN,PC_LF,A,1991,9.886825,
AUS,UNEMP,MEN,PC_LF,A,1992,11.30737,
AUS,UNEMP,MEN,PC_LF,A,1993,11.51006,
AUS,UNEMP,MEN,PC_LF,A,1994,9.98336,
AUS,UNEMP,MEN,PC_LF,A,1995,8.742694,
AUS,UNEMP,MEN,PC_LF,A,1996,8.709963,
AUS,UNEMP,MEN,PC_LF,A,1997,8.583183,
AUS,UNEMP,MEN,PC_LF,A,1998,7.941654,
AUS,UNEMP,MEN,PC_LF,A,1999,7.037105,
AUS,UNEMP,MEN,PC_LF,A,2000,6.45689,
AUS,UNEMP,MEN,PC_LF,A,2001,6.978704,
AUS,UNEMP,MEN,PC_LF,A,2002,6.53149,
AUS,UNEMP,MEN,PC_LF,A,2003,5.888669,
AUS,UNEMP,MEN,PC_LF,A,2004,5.281922,
AUS,UNEMP,MEN,PC_LF,A,2005,4.879681,
AUS,UNEMP,MEN,PC_LF,A,2006,4.669972,
AUS,UNEMP,MEN,PC_LF,A,2007,4.041836,
AUS,UNEMP,MEN,PC_LF,A,2008,3.954261,
AUS,UNEMP,MEN,PC_LF,A,2009,5.694293,
AUS,UNEMP,MEN,PC_LF,A,2010,5.076458,
AUS,UNEMP,MEN,PC_LF,A,2011,4.893791,
AUS,UNEMP,MEN,PC_LF,A,2012,5.13732,
AUS,UNEMP,MEN,PC_LF,A,2013,5.706582,
AUS,UNEMP,MEN,PC_LF,A,2014,5.996284,
AUS,UNEMP,MEN,PC_LF,A,2015,6.039518,
AUS,UNEMP,MEN,PC_LF,A,2016,5.64994,
AUS,UNEMP,MEN,PC_LF,A,2017,5.525619,
AUS,UNEMP,MEN,PC_LF,A,2018,5.28197,
AUS,UNEMP,MEN,PC_LF,A,2019,5.21107,
AUS,UNEMP,TOT,PC_LF,A,1967,1.875,
AUS,UNEMP,TOT,PC_LF,A,1968,1.85,
AUS,UNEMP,TOT,PC_LF,A,1969,1.8,
AUS,UNEMP,TOT,PC_LF,A,1970,1.625,
AUS,UNEMP,TOT,PC_LF,A,1971,1.925,
AUS,UNEMP,TOT,PC_LF,A,1972,2.625,
AUS,UNEMP,TOT,PC_LF,A,1973,2.325,
AUS,UNEMP,TOT,PC_LF,A,1974,2.7,
AUS,UNEMP,TOT,PC_LF,A,1975,4.925,
AUS,UNEMP,TOT,PC_LF,A,1976,4.75,
